2023/01/13
左右2Vで空転させたときのログ
LPFなし
spd(*100000),encdiff,encang,0

-253,-2,11937,0
0,0,11938,0
3551,5,11936,0
20801,64,11851,0
21816,56,11734,0
25875,86,11564,0
36276,118,11337,0
36783,121,11090,0
46677,147,10804,0
55049,177,10477,0
58600,185,10122,0
62913,195,9724,0
70523,219,9294,0
72553,212,8873,0
79909,229,8415,0
83715,249,7912,0
91579,248,7425,0
94623,266,6907,0
99189,268,6366,0
105531,295,5779,0
97160,280,5229,0
104263,296,4630,0
111873,326,3996,0
121767,358,3334,0
115679,309,2725,0
137242,393,2002,0
122782,336,1322,0
138510,390,587,0
135973,374,16215,0
140286,375,15470,0
140032,380,14718,0
154746,425,13902,0
160327,437,13045,0
154746,428,12188,0
156268,439,11316,0
166922,460,10403,0
167176,468,9471,0
171996,484,8510,0
163624,457,7581,0
166161,460,6677,0
171489,465,5733,0
170981,464,4803,0
166415,465,3847,0
176562,499,2866,0
183919,497,1878,0
175294,501,879,0
189246,527,16212,0
177323,509,15186,0
192037,512,14167,0
192544,541,13102,0
200155,553,12004,0
205989,563,10879,0
203199,571,9739,0
202184,559,8613,0
200408,563,7496,0
197618,531,6416,0
206750,576,5277,0
205228,569,4165,0
194066,523,3075,0
201677,540,1965,0
220449,607,776,0
207511,560,16011,0
207765,582,14913,0
218420,579,13714,0
216390,611,12563,0
225269,601,11345,0
217151,584,10213,0
219435,600,8971,0
225777,604,7772,0
220449,594,6641,0
218673,594,5500,0
213853,579,4330,0
214107,590,3161,0
218673,598,1978,0
225777,609,762,0
220449,593,15955,0
227045,612,14729,0
237446,636,13471,0
236431,628,12210,0
234148,627,10960,0
241251,647,9675,0
245564,663,8344,0
236431,610,7135,0
239475,607,5919,0
229582,617,4632,0
221971,596,3429,0
235163,610,2189,0
241251,660,859,0
227045,600,16041,0
252413,661,14764,0
230850,661,13445,0
240236,621,12203,0
243534,656,10898,0
245056,669,9565,0
246578,680,8209,0
247593,621,6949,0
234909,645,5648,0
231358,630,4391,0
238714,628,3121,0
222986,648,1838,0
245564,660,478,0
229582,635,15591,0
238207,658,14287,0
248862,678,12941,0
251652,694,11567,0
250384,678,10192,0
247847,689,8849,0
238714,629,7526,0
255204,641,6218,0
240744,645,4945,0
244549,649,3640,0
234402,612,2425,0
240236,650,1145,0
233894,626,16271,0
240997,629,15027,0
242520,656,13728,0
247340,660,12410,0
242266,639,11123,0
244295,658,9811,0
248608,677,8474,0
246071,629,7186,0
253174,669,5900,0
250637,662,4615,0
251906,650,3340,0
249623,664,2074,0
241505,649,747,0
237192,642,15843,0
245564,648,14521,0
251652,660,13217,0
259770,690,11866,0
258502,696,10478,0
253174,668,9147,0
249369,641,7790,0
251145,650,6503,0
254189,662,5195,0
252413,650,3892,0
248354,651,2589,0
265858,707,1219,0
246071,648,16261,0
243788,639,14981,0
266366,710,13591,0
261292,697,12192,0
245056,662,10847,0
270425,712,9450,0
255204,692,8052,0
253935,647,6747,0
258755,675,5394,0
260531,663,4060,0
255711,673,2708,0
257740,695,1335,0
253935,674,16354,0
242520,667,15022,0
260277,708,13624,0
262814,705,12204,0
261292,702,10803,0
269410,724,9361,0
262307,698,7954,0
261799,690,6576,0
261038,685,5209,0
262560,691,3833,0
258502,687,2456,0
261292,702,1055,0
252159,685,16059,0
263322,697,14647,0
259263,715,13235,0
265351,698,11828,0
267634,728,10385,0
267634,735,8915,0
266619,706,7469,0
264590,704,6097,0
262814,696,4722,0
271186,708,3330,0
261038,687,1977,0
265605,713,543,0
259516,704,15521,0
255965,695,14193,0
270425,727,12736,0
270425,712,11314,0
273215,736,9859,0
265351,712,8418,0
254696,676,7044,0
265858,715,5649,0
269156,710,4269,0
261292,677,2919,0
267888,712,1504,0
262814,702,90,0
256726,691,15084,0
267888,715,13668,0
268395,717,12225,0
265858,714,10805,0
262053,729,9347,0
270678,729,7901,0
254443,678,6519,0
260024,698,5128,0
265858,697,3740,0
267888,696,2350,0
267634,730,918,0
265858,705,15862,0
255457,681,14517,0
271947,758,13021,0
246071,695,11601,0
262053,726,10166,0
271439,743,8679,0
265351,710,7239,0
257994,696,5871,0
261038,703,4459,0
256726,697,3077,0
259770,714,1660,0
267634,707,234,0
261292,696,15228,0
264083,720,13799,0
262814,724,12340,0
272200,742,10888,0
274230,753,9384,0
254696,700,7960,0
251652,666,6560,0
256979,679,5163,0
254189,675,3774,0
251652,668,2403,0
277781,743,955,0
268649,691,15930,0
266112,691,14556,0
262560,719,13129,0
265605,707,11706,0
266366,726,10271,0
268395,747,8775,0
263829,693,7357,0
269156,707,5974,0
265097,705,4597,0
266873,710,3203,0
256218,684,1849,0
271439,747,394,0
250637,641,15431,0
272454,726,14045,0
269664,731,12584,0
247086,662,11207,0
280318,754,9757,0
249369,705,8324,0
254443,670,6966,0
250891,681,5603,0
259009,698,4217,0
264844,686,2828,0
248862,690,1473,0
269156,701,72,0
258248,692,15065,0
268649,717,13644,0
267127,718,12197,0
265858,698,10793,0
263068,718,9347,0
259009,707,7930,0
252667,679,6543,0
264590,721,5144,0
269664,712,3764,0
262307,717,2383,0
261292,692,989,0
266619,692,15970,0
260531,684,14603,0
276513,735,13152,0
270425,716,11705,0
275245,725,10261,0
252413,701,8830,0
269917,723,7407,0
263575,706,6035,0
257487,692,4652,0
252921,676,3268,0
257741,668,1896,0
263575,710,481,0
258502,706,15467,0
273976,717,14049,0
259516,688,12639,0
278796,730,11217,0
270678,736,9751,0
259263,711,8310,0
263322,704,6907,0
250891,678,5547,0
251906,681,4145,0
250891,672,2771,0
272708,752,1338,0
261038,693,16327,0
263575,689,14930,0
264844,702,13549,0
270932,745,12047,0
263068,676,10666,0
281079,744,9231,0
254443,685,7778,0
248354,661,6480,0
247847,664,5092,0
251145,640,3767,0
242266,680,2414,0
275498,714,996,0
241251,665,16037,0
264083,678,14699,0
258502,710,13299,0
262814,709,11875,0
262814,717,10457,0
265351,725,9006,0
253935,683,7614,0
260024,689,6258,0
253935,697,4864,0
248354,676,3505,0
242773,679,2157,0
269917,750,677,0
238461,651,15728,0
265097,742,14326,0
248354,669,12951,0
262307,723,11546,0
264590,737,10077,0
271693,733,8688,0
243281,656,7347,0
256472,659,5994,0
247086,662,4620,0
236939,639,3298,0
250891,691,1922,0
256979,692,526,0
237700,649,15597,0
259009,700,14212,0
262307,711,12792,0
256472,702,11385,0
258755,719,9956,0
265351,700,8543,0
260277,705,7157,0
256726,675,5824,0
261038,686,4443,0
250384,683,3071,0
255457,693,1696,0
258755,708,273,0
247847,680,15287,0
259516,701,13898,0
266619,724,12464,0
262307,718,11032,0
270171,738,9567,0
266873,712,8130,0
266366,697,6745,0
254950,689,5366,0
271439,716,3962,0
259009,683,2576,0
259516,700,1175,0
272961,735,16103,0
260277,696,14780,0
259516,702,13334,0
255711,679,11979,0
262053,725,10552,0
275498,742,9077,0
248862,676,7671,0
257487,686,6334,0
263829,701,4945,0
245817,630,3608,0
259516,689,2246,0
247340,656,859,0
266873,708,15843,0
242266,673,14538,0
248101,664,13128,0
260277,684,11777,0
257233,712,10354,0
259770,713,8918,0
256218,673,7543,0
251398,673,6206,0
252413,668,4846,0
263575,689,3480,0
250891,698,2136,0
259263,694,726,0
250637,668,15769,0
256726,687,14422,0
263829,730,12959,0
243027,651,11621,0
268141,720,10169,0
270932,754,8733,0
265605,689,7393,0
